순번,수거장소구분명,수거장소명,지번주소,도로명주소,행정동코드,행정동명,법정동코드,법정동명,개설자명,전화번호,비고,위도,경도,데이터기준일자
149,약국,세란약국,대전광역시 서구 둔산동 1039,대전광역시 서구 둔산로 34,3017064000,둔산2동,3017011200,둔산동,박**,,,36.35137777,127.3775285,2025-01-17
150,약국,세원약국,대전광역시 서구 가수원동 762,대전광역시 서구 가수원로 106,3017059000,가수원동,3017011400,가수원동,최**,,,36.30401473,127.3507771,2025-01-17
151,약국,수약국,대전광역시 서구 둔산동 1163,대전광역시 서구 대덕대로 194,3017064000,둔산2동,3017011200,둔산동,소**,,,36.35015758,127.3782108,2025-01-17
152,약국,수정약국,대전광역시 서구 둔산동 909,대전광역시 서구 청사로 282,3017064000,둔산2동,3017011200,둔산동,이**,,,36.35908997,127.397197,2025-01-17
153,약국,스마일약국,대전광역시 서구 둔산동 1494,대전광역시 서구 둔산남로 107,3017063000,둔산1동,3017011200,둔산동,구**,,,36.3492911,127.3895186,2025-01-17
154,약국,스마트약국,대전광역시 서구 갈마동 1435,대전광역시 서구 대덕대로 164,3017058200,갈마2동,3017011100,갈마동,이**,,,36.3476685,127.3766542,2025-01-17
155,약국,스타약국,대전광역시 서구 관저동 1540,대전광역시 서구 구봉로 139,3017059700,관저2동,3017011600,관저동,김**,,,36.29673351,127.3385265,2025-01-17
156,약국,승보약국,대전광역시 서구 탄방동 81-12,대전광역시 서구 계룡로 633,3017055500,탄방동,3017010600,탄방동,정**,,,36.33907351,127.3928668,2025-01-17
157,약국,시정약국,대전광역시 서구 변동 30-14,대전광역시 서구 도산로 197,3017054000,변동,3017010200,변동,정**,,,36.32606309,127.3791196,2025-01-17
158,약국,시청비타민약국,대전광역시 서구 둔산동 1413,대전광역시 서구 둔산중로 50,3017063000,둔산1동,3017011200,둔산동,변**,,,36.35100866,127.3871302,2025-01-17
159,약국,시티약국,대전광역시 서구 둔산동 1179,대전광역시 서구 둔산로 76,3017064000,둔산2동,3017011200,둔산동,이**,,,36.35101648,127.382237,2025-01-17
160,약국,신보건약국,대전광역시 서구 만년동 342,대전광역시 서구 만년로 78,3017065000,만년동,3017012800,만년동,서**,,,36.36708867,127.3814367,2025-01-17
161,약국,신영흥약국,대전광역시 서구 용문동 276-3,대전광역시 서구 도산로 353,3017055000,용문동,3017010500,용문동,최**,,,36.33658824,127.3906684,2025-01-17
162,약국,실로암약국,대전광역시 서구 관저동 1348,대전광역시 서구 관저로 164,3017059700,관저2동,3017011600,관저동,지**,,,36.29872414,127.339988,2025-01-17
163,약국,아르누보수약국,대전광역시 서구 탄방동 707,대전광역시 서구 둔산중로 20,3017055500,탄방동,3017010600,탄방동,김**,,,36.34839992,127.3872183,2025-01-17
164,약국,아은약국,대전광역시 서구 변동 49-8,대전광역시 서구 도산로 176,3017054000,변동,3017010200,변동,손**,,,36.32402945,127.3788756,2025-01-17
165,약국,애플약국,대전광역시 서구 둔산동 1110,대전광역시 서구 대덕대로 179,3017064000,둔산2동,3017011200,둔산동,장**,,,36.34941901,127.3768049,2025-01-17
166,약국,약손약국,대전광역시 서구 월평동 218,대전광역시 서구 월평북로 11,3017058700,월평2동,3017011300,월평동,김**,,,36.36382471,127.3690148,2025-01-17
167,약국,엄마곰약국,대전광역시 서구 탄방동 87-19,대전광역시 서구 계룡로615번길 51,3017055500,탄방동,3017010600,탄방동,이**,,,36.34184816,127.3930815,2025-01-17
168,약국,엄지약국,대전광역시 서구 용문동 589-11,대전광역시 서구 계룡로 628,3017055000,용문동,3017010500,용문동,김**,,,36.33915064,127.3917732,2025-01-17
169,약국,연세코끼리약국,대전광역시 서구 탄방동 90-7,대전광역시 서구 계룡로 613,3017055500,탄방동,3017010600,탄방동,이**,,,36.34041529,127.3911313,2025-01-17
170,약국,연일약국,대전광역시 서구 둔산동 1839,대전광역시 서구 둔산로 228,3017066000,둔산3동,3017011200,둔산동,이**,,,36.35104998,127.3990337,2025-01-17
171,약국,연합수약국,대전광역시 서구 관저동 1757,대전광역시 서구 관저북로 15,3017059600,관저1동,3017011600,관저동,송**,,,36.3032345,127.3367278,2025-01-17
172,약국,연합약국,대전광역시 서구 탄방동 90-1,대전광역시 서구 계룡로 605,3017055500,탄방동,3017010600,탄방동,이**,,,36.34117768,127.3908581,2025-01-17
173,약국,연합약국,대전광역시 서구 탄방동 90-1,대전광역시 서구 계룡로 605,3017055500,탄방동,3017010600,탄방동,전**,,,36.34117768,127.3908581,2025-01-17
174,약국,열린약국,대전광역시 서구 관저동 984-2,대전광역시 서구 관저북로 78,3017059600,관저1동,3017011600,관저동,유**,,,36.30862725,127.337343,2025-01-17
175,약국,예인당한약국,대전광역시 서구 관저동 1408,대전광역시 서구 관저로 176,3017059700,관저2동,3017011600,관저동,장**,,,36.29878277,127.3415186,2025-01-17
176,약국,오라클약국,대전광역시 서구 둔산동 1160,대전광역시 서구 대덕대로 182,3017064000,둔산2동,3017011200,둔산동,이**,,,36.34926581,127.3776882,2025-01-17
177,약국,오렌지약국,대전광역시 서구 괴정동 423-4,대전광역시 서구 계룡로 616,3017056000,괴정동,3017010800,괴정동,김**,,,36.33983331,127.3907742,2025-01-17
